Stage,Accuracy,Sensitivity,Specificity,TP,FN,FP,TN
Screening (KL>=1),0.836352657004831,0.7895771878072763,0.9107981220657277,803,214,57,582
OA (KL>=2),0.8774154589371981,0.8002773925104022,0.9368983957219251,577,144,59,876
Severe (KL>=3),0.9589371980676329,0.9124087591240876,0.9681620839363242,250,24,44,1338
